date	day	hour	users#	messages#
2017-01-17	Tue	01	1	3
2017-01-17	Tue	07	1	0
2017-01-17	Tue	08	1	1
2017-01-17	Tue	13	3	4
2017-01-17	Tue	19	3	15
2017-01-17	Tue	20	1	0
2017-01-18	Wed	07	1	0
2017-01-18	Wed	08	1	0
2017-01-18	Wed	10	1	1
2017-01-18	Wed	11	1	0
2017-01-20	Fri	10	1	2
2017-01-20	Fri	11	1	0
2017-01-20	Fri	22	1	4
2017-01-20	Fri	23	3	10
2017-01-21	Sat	01	1	0
2017-01-21	Sat	14	2	6
2017-01-21	Sat	16	1	2
2017-01-21	Sat	17	2	1
2017-01-21	Sat	19	3	4
2017-01-21	Sat	21	1	0
2017-01-21	Sat	22	2	2
2017-01-22	Sun	23	2	3
2017-01-23	Mon	01	1	0
2017-01-23	Mon	11	2	5
2017-01-23	Mon	15	1	1
2017-01-24	Tue	19	3	1
2017-01-24	Tue	21	3	30
2017-01-24	Tue	22	2	1
2017-01-24	Tue	23	2	1
2017-01-25	Wed	13	1	1
2017-01-25	Wed	14	1	0
2017-01-25	Wed	15	2	4
2017-01-25	Wed	16	2	0
2017-01-25	Wed	19	2	2
2017-01-25	Wed	20	1	0
2017-01-25	Wed	21	2	1
2017-01-25	Wed	23	2	8
2017-01-26	Thu	00	1	0
2017-01-26	Thu	09	1	0
2017-01-26	Thu	10	2	0
2017-01-26	Thu	14	2	2
2017-01-26	Thu	18	3	11
2017-01-26	Thu	20	3	23
2017-01-26	Thu	21	3	3
2017-01-26	Thu	22	3	47
2017-01-26	Thu	23	3	5
2017-01-27	Fri	00	3	43
2017-01-27	Fri	01	3	1
2017-01-27	Fri	03	1	2
2017-01-27	Fri	04	1	3
2017-01-27	Fri	09	1	0
2017-01-27	Fri	13	1	1
2017-01-27	Fri	14	2	2
2017-01-27	Fri	15	2	0
2017-01-27	Fri	16	3	5
2017-01-27	Fri	17	2	5
2017-01-27	Fri	20	2	4
2017-01-27	Fri	21	3	8
2017-01-27	Fri	22	3	23
2017-01-28	Sat	00	2	2
2017-01-28	Sat	06	1	0
2017-01-28	Sat	08	1	0
2017-01-28	Sat	11	2	1
2017-01-28	Sat	16	2	3
2017-01-28	Sat	17	1	1
2017-01-28	Sat	18	1	0
2017-01-29	Sun	01	2	10
2017-01-29	Sun	13	1	1
2017-01-29	Sun	16	2	1
2017-01-29	Sun	22	3	14
2017-01-29	Sun	23	3	6
2017-01-30	Mon	00	3	11
2017-01-30	Mon	01	2	5
2017-01-30	Mon	09	2	0
2017-01-30	Mon	10	2	0
2017-01-30	Mon	11	1	0
2017-01-30	Mon	15	2	11
2017-01-30	Mon	16	2	0
2017-01-30	Mon	17	2	1
2017-01-30	Mon	18	2	5
2017-01-30	Mon	19	1	1
2017-01-30	Mon	21	2	1
2017-01-30	Mon	22	3	1
2017-01-30	Mon	23	2	2
2017-01-31	Tue	00	3	31
2017-01-31	Tue	10	1	0
2017-01-31	Tue	14	2	0
2017-01-31	Tue	22	2	1
2017-01-31	Tue	23	3	3
2017-02-01	Wed	18	3	1
2017-02-01	Wed	22	3	1
2017-02-01	Wed	23	2	6
2017-02-02	Thu	00	2	1
2017-02-02	Thu	09	1	0
2017-02-02	Thu	10	3	4
2017-02-02	Thu	18	2	2
2017-02-02	Thu	19	2	1
2017-02-04	Sat	11	2	15
2017-02-04	Sat	13	2	3
2017-02-04	Sat	14	2	0
2017-02-04	Sat	15	2	4
2017-02-04	Sat	18	2	0
2017-02-04	Sat	19	2	2
2017-02-04	Sat	21	2	2
2017-02-04	Sat	22	2	3
2017-02-05	Sun	14	2	35
2017-02-06	Mon	18	2	1
2017-02-06	Mon	19	3	6
2017-02-07	Tue	00	1	1
2017-02-07	Tue	07	1	0
2017-02-07	Tue	13	1	1
2017-02-07	Tue	18	3	5
2017-02-07	Tue	19	2	2
2017-02-07	Tue	20	3	12
2017-02-07	Tue	21	3	5
2017-02-07	Tue	22	3	19
2017-02-07	Tue	23	1	6
2017-02-08	Wed	00	1	0
2017-02-08	Wed	07	1	0
2017-02-08	Wed	14	1	0
2017-02-08	Wed	15	2	0
2017-02-08	Wed	17	2	11
2017-02-08	Wed	18	1	0
2017-02-08	Wed	22	2	6
2017-02-08	Wed	23	2	3
2017-02-09	Thu	00	1	0
2017-02-09	Thu	07	1	0
2017-02-09	Thu	08	2	0
2017-02-09	Thu	09	1	0
2017-02-09	Thu	10	1	0
2017-02-10	Fri	10	2	1
2017-02-10	Fri	13	1	0
2017-02-10	Fri	14	2	2
2017-02-10	Fri	15	1	4
2017-02-10	Fri	17	2	3
2017-02-10	Fri	18	3	8
2017-02-10	Fri	20	2	7
2017-02-10	Fri	21	3	50
2017-02-10	Fri	22	3	85
2017-02-10	Fri	23	2	9
2017-02-11	Sat	00	1	0
2017-02-12	Sun	18	2	2
2017-02-12	Sun	19	1	0
2017-02-14	Tue	23	3	9
2017-02-15	Wed	00	2	1
2017-02-15	Wed	01	2	3
2017-02-15	Wed	02	1	2
2017-02-15	Wed	07	1	0
2017-02-15	Wed	11	2	1
2017-02-15	Wed	13	1	1
2017-02-15	Wed	14	1	1
2017-02-15	Wed	15	2	2
2017-02-15	Wed	23	3	1
2017-02-16	Thu	00	2	0
2017-02-16	Thu	08	3	32
2017-02-16	Thu	09	3	2
2017-02-16	Thu	10	3	3
2017-02-16	Thu	11	2	2
2017-02-16	Thu	13	1	2
2017-02-17	Fri	17	2	5
2017-02-17	Fri	18	1	0
2017-02-17	Fri	19	1	0
2017-02-17	Fri	20	3	14
2017-02-17	Fri	21	3	12
2017-02-17	Fri	22	1	0
2017-02-17	Fri	23	2	5
2017-02-18	Sat	08	1	0
2017-02-18	Sat	09	1	0
2017-02-18	Sat	10	2	0
2017-02-18	Sat	14	2	1
2017-02-18	Sat	15	2	7
2017-02-18	Sat	16	1	0
2017-02-18	Sat	20	3	8
2017-02-18	Sat	21	2	27
2017-02-18	Sat	22	1	0
2017-02-18	Sat	23	1	1
2017-02-19	Sun	00	2	0
2017-02-19	Sun	08	1	1
2017-02-19	Sun	15	2	6
2017-02-19	Sun	16	2	1
2017-02-19	Sun	17	2	2
2017-02-19	Sun	19	2	0
2017-02-21	Tue	23	2	3
2017-02-22	Wed	17	1	0
2017-02-22	Wed	18	3	2
2017-02-22	Wed	19	2	5
2017-02-22	Wed	20	1	2
2017-02-22	Wed	21	3	3
2017-02-22	Wed	22	2	28
2017-02-22	Wed	23	2	3
2017-02-23	Thu	17	2	2
2017-02-23	Thu	18	2	2
2017-02-24	Fri	01	3	6
2017-02-24	Fri	02	2	5
2017-02-24	Fri	15	2	3
2017-02-25	Sat	01	3	9
2017-02-25	Sat	10	1	0
2017-02-25	Sat	23	2	5
2017-02-26	Sun	13	2	2
2017-02-26	Sun	16	2	6
2017-02-26	Sun	17	2	0
2017-02-26	Sun	18	2	5
2017-02-26	Sun	19	2	0
2017-02-26	Sun	21	1	1
2017-02-26	Sun	22	2	0
2017-02-26	Sun	23	3	8
2017-02-27	Mon	00	2	8
2017-02-27	Mon	01	2	2
2017-02-27	Mon	08	2	3
2017-02-27	Mon	09	2	7
2017-02-27	Mon	10	1	3
2017-02-27	Mon	11	1	0
2017-02-27	Mon	13	2	27
2017-02-27	Mon	14	2	33
2017-02-27	Mon	15	1	0
2017-02-27	Mon	17	3	16
2017-02-27	Mon	18	3	3
2017-02-27	Mon	20	2	2
2017-02-28	Tue	19	2	12
2017-03-01	Wed	00	2	1
2017-03-01	Wed	01	3	22
2017-03-01	Wed	02	1	2
2017-03-01	Wed	16	3	16
2017-03-01	Wed	17	3	68
2017-03-01	Wed	18	3	2
2017-03-01	Wed	19	2	4
2017-03-01	Wed	20	2	16
2017-03-01	Wed	21	3	25
2017-03-02	Thu	00	3	19
2017-03-02	Thu	14	2	5
2017-03-02	Thu	15	2	5
2017-03-02	Thu	17	3	4
2017-03-02	Thu	18	3	16
2017-03-02	Thu	19	3	18
2017-03-02	Thu	20	3	4
2017-03-02	Thu	21	3	113
2017-03-02	Thu	22	2	1
2017-03-02	Thu	23	2	12
2017-03-03	Fri	13	3	6
2017-03-03	Fri	14	2	9
2017-03-03	Fri	15	3	12
2017-03-03	Fri	16	3	39
2017-03-03	Fri	17	3	11
2017-03-03	Fri	18	3	22
2017-03-03	Fri	20	2	1
2017-03-03	Fri	21	2	2
2017-03-03	Fri	22	3	7
2017-03-04	Sat	02	3	2
2017-03-04	Sat	13	1	0
2017-03-04	Sat	14	1	4
2017-03-04	Sat	15	3	28
2017-03-04	Sat	16	3	8
2017-03-04	Sat	17	3	11
2017-03-04	Sat	18	2	23
2017-03-04	Sat	19	1	0
2017-03-04	Sat	20	2	4
2017-03-04	Sat	21	3	11
2017-03-04	Sat	22	3	50
2017-03-04	Sat	23	2	6
2017-03-06	Mon	01	1	0
2017-03-06	Mon	05	1	1
2017-03-06	Mon	20	2	21
2017-03-06	Mon	21	1	0
2017-03-07	Tue	14	2	7
2017-03-07	Tue	15	3	3
2017-03-07	Tue	17	2	9
2017-03-07	Tue	18	2	0
2017-03-07	Tue	19	3	4
2017-03-08	Wed	17	2	13
2017-03-08	Wed	18	2	12
2017-03-08	Wed	19	2	2
2017-03-08	Wed	23	1	0
2017-03-09	Thu	00	3	20
2017-03-09	Thu	22	3	12
2017-03-09	Thu	23	2	25
2017-03-10	Fri	11	1	0
2017-03-10	Fri	13	3	4
2017-03-10	Fri	14	2	8
2017-03-10	Fri	19	2	4
