date	day	users#	messages#
2017-01-17	Tue	3	56
2017-01-18	Wed	3	8
2017-01-20	Fri	3	21
2017-01-21	Sat	3	33
2017-01-22	Sun	2	5
2017-01-23	Mon	3	11
2017-01-24	Tue	3	77
2017-01-25	Wed	3	38
2017-01-26	Thu	3	219
2017-01-27	Fri	3	331
2017-01-28	Sat	3	18
2017-01-29	Sun	3	169
2017-01-30	Mon	3	122
2017-01-31	Tue	3	101
2017-02-01	Wed	3	24
2017-02-02	Thu	3	50
2017-02-04	Sat	3	162
2017-02-05	Sun	2	63
2017-02-06	Mon	3	17
2017-02-07	Tue	3	160
2017-02-08	Wed	3	57
2017-02-09	Thu	2	11
2017-02-10	Fri	3	448
2017-02-11	Sat	1	1
2017-02-12	Sun	3	5
2017-02-14	Tue	3	19
2017-02-15	Wed	3	26
2017-02-16	Thu	3	238
2017-02-17	Fri	3	102
2017-02-18	Sat	3	97
2017-02-19	Sun	3	25
2017-02-21	Tue	2	5
2017-02-22	Wed	3	102
2017-02-23	Thu	2	7
2017-02-24	Fri	3	36
2017-02-25	Sat	3	28
2017-02-26	Sun	3	47
2017-02-27	Mon	3	212
2017-02-28	Tue	2	20
2017-03-01	Wed	3	336
2017-03-02	Thu	3	406
2017-03-03	Fri	3	389
2017-03-04	Sat	3	327
2017-03-06	Mon	2	37
2017-03-07	Tue	3	40
2017-03-08	Wed	2	54
2017-03-09	Thu	3	106
2017-03-10	Fri	3	48
2017-03-11	Sat	3	116
2017-03-12	Sun	3	194
2017-03-13	Mon	3	100
2017-03-14	Tue	3	65
2017-03-15	Wed	3	159
2017-03-16	Thu	3	139
2017-03-17	Fri	3	252
2017-03-18	Sat	3	15
2017-03-19	Sun	3	75
2017-03-21	Tue	2	8
2017-03-24	Fri	2	4
2017-03-25	Sat	2	12
2017-03-27	Mon	3	64
2017-03-28	Tue	3	70
2017-03-29	Wed	3	13
2017-04-06	Thu	3	52
2017-04-10	Mon	2	11
2017-04-25	Tue	3	10
2017-05-07	Sun	2	2
2017-05-10	Wed	3	14
2017-05-11	Thu	2	10
2017-05-12	Fri	3	21
2017-05-14	Sun	3	22
2017-05-15	Mon	3	24
2017-05-16	Tue	3	51
2017-05-22	Mon	3	29
2017-05-28	Sun	2	6
2017-05-29	Mon	2	4
2017-05-30	Tue	3	21
2017-05-31	Wed	3	19
2017-06-02	Fri	3	74
2017-06-05	Mon	3	24
2017-06-06	Tue	3	18
2017-06-07	Wed	3	27
2017-06-08	Thu	2	2
2017-06-10	Sat	3	54
2017-06-11	Sun	2	2
2017-06-12	Mon	2	3
2017-06-15	Thu	2	13
2017-06-16	Fri	2	7
2017-06-17	Sat	2	3
2017-06-19	Mon	2	4
2017-06-21	Wed	3	7
2017-06-22	Thu	3	57
2017-06-23	Fri	3	4
2017-06-24	Sat	3	54
2017-06-25	Sun	3	15
2017-06-26	Mon	3	17
2017-06-27	Tue	3	141
2017-06-29	Thu	3	42
2017-06-30	Fri	3	101
2017-07-01	Sat	2	3
2017-07-04	Tue	3	57
2017-07-05	Wed	1	8
2017-07-06	Thu	3	18
2017-07-07	Fri	3	43
2017-07-09	Sun	2	5
2017-07-16	Sun	1	1
2017-07-17	Mon	2	11
